,,,,,,,New England Patriots @ Pittsburgh Steelers,1:00 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,,Indianapolis Colts @ Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
,,,,,,,Miami Dolphins @ Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
,,,,,,,Atlanta Falcons @ Los Angeles Rams,4:05 PM,"SoFi Stadium, Inglewood"
,,,,,,,Seattle Seahawks @ San Francisco 49ers,4:05 PM,"Levi's Stadium, Santa Clara"
,,,,,,,Cincinnati Bengals @ Dallas Cowboys,4:25 PM,"AT&T Stadium, Arlington"
,,,,,,,Houston Texans @ Denver Broncos,4:25 PM,"Empower Field at Mile High, Denver"
,,,,,,,Arizona Cardinals @ Las Vegas Raiders,4:25 PM,"Allegiant Stadium, Las Vegas"
,,,,,,,Chicago Bears @ Green Bay Packers,8:20 PM,"Lambeau Field, Green Bay"
,,,,,,"Monday, September 19, 2022",Tennessee Titans @ Buffalo Bills,7:15 PM,"Highmark Stadium, Orchard Park"
,,,,,,,Minnesota Vikings @ Philadelphia Eagles,8:30 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,,,,
,,,,,,WEEK 3:,,,
,,,,,,"Thursday, September 22, 2022",Pittsburgh Steelers @ Cleveland Browns,8:15 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,"Sunday, September 25, 2022",Houston Texans @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,Las Vegas Raiders @ Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
,,,,,,,Kansas City Chiefs @ Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,Buffalo Bills @ Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,,Detroit Lions @ Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Baltimore Ravens @ New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
,,,,,,,Cincinnati Bengals @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Philadelphia Eagles @ Washington Commanders,1:00 PM,"FedExField, Landover"
,,,,,,,New Orleans Saints @ Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
,,,,,,,Jacksonville Jaguars @ Los Angeles Chargers,4:05 PM,"SoFi Stadium, Inglewood"
,,,,,,,Los Angeles Rams @ Arizona Cardinals,4:25 PM,"State Farm Stadium, Glendale"
,,,,,,,Atlanta Falcons @ Seattle Seahawks,4:25 PM,"Lumen Field, Seattle"
,,,,,,,Green Bay Packers @ Tampa Bay Buccaneers,4:25 PM,"Raymond James Stadium, Tampa"
,,,,,,,San Francisco 49ers @ Denver Broncos,8:20 PM,"Empower Field at Mile High, Denver"
,,,,,,"Monday, September 26, 2022",Dallas Cowboys @ New York Giants,8:15 PM,"MetLife Stadium, East Rutherford"
,,,,,,,,,
,,,,,,WEEK 4:,,,
,,,,,,"Thursday, September 29, 2022",Miami Dolphins @ Cincinnati Bengals,8:15 PM,"Paycor Stadium, Cincinnati"
,,,,,,"Sunday, October 02, 2022",Minnesota Vikings @ New Orleans Saints,9:30 AM,"Tottenham Hotspur Stadium, London"
,,,,,,,Cleveland Browns @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,Washington Commanders @ Dallas Cowboys,1:00 PM,"AT&T Stadium, Arlington"
,,,,,,,Seattle Seahawks @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,Tennessee Titans @ Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,Chicago Bears @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Jacksonville Jaguars @ Philadelphia Eagles,1:00 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,,New York Jets @ Pittsburgh Steelers,1:00 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,,Buffalo Bills @ Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
,,,,,,,Los Angeles Chargers @ Houston Texans,1:00 PM,"NRG Stadium, Houston"
,,,,,,,Arizona Cardinals @ Carolina Panthers,4:05 PM,"Bank of America Stadium, Charlotte"
,,,,,,,New England Patriots @ Green Bay Packers,4:25 PM,"Lambeau Field, Green Bay"
,,,,,,,Denver Broncos @ Las Vegas Raiders,4:25 PM,"Allegiant Stadium, Las Vegas"
,,,,,,,Kansas City Chiefs @ Tampa Bay Buccaneers,8:20 PM,"Raymond James Stadium, Tampa"
,,,,,,"Monday, October 03, 2022",Los Angeles Rams @ San Francisco 49ers,8:15 PM,"Levi's Stadium, Santa Clara"
,,,,,,,,,
,,,,,,WEEK 5:,,,
,,,,,,"Thursday, October 06, 2022",Indianapolis Colts @ Denver Broncos,8:15 PM,"Empower Field at Mile High, Denver"
,,,,,,"Sunday, October 09, 2022",New York Giants @ Green Bay Packers,9:30 AM,"Tottenham Hotspur Stadium, London"
,,,,,,,Pittsburgh Steelers @ Buffalo Bills,1:00 PM,"Highmark Stadium, Orchard Park"
,,,,,,,Los Angeles Chargers @ Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,,Chicago Bears @ Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Detroit Lions @ New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
,,,,,,,Seattle Seahawks @ New Orleans Saints,1:00 PM,"Caesars Superdome, New Orleans"
,,,,,,,Miami Dolphins @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Atlanta Falcons @ Tampa Bay Buccaneers,1:00 PM,"Raymond James Stadium, Tampa"
,,,,,,,Tennessee Titans @ Washington Commanders,1:00 PM,"FedExField, Landover"
,,,,,,,Houston Texans @ Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
,,,,,,,San Francisco 49ers @ Carolina Panthers,4:05 PM,"Bank of America Stadium, Charlotte"
,,,,,,,Dallas Cowboys @ Los Angeles Rams,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,Philadelphia Eagles @ Arizona Cardinals,4:25 PM,"State Farm Stadium, Glendale"
,,,,,,,Cincinnati Bengals @ Baltimore Ravens,8:20 PM,"M&T Bank Stadium, Baltimore"
,,,,,,"Monday, October 10, 2022",Las Vegas Raiders @ Kansas City Chiefs,8:15 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,,,,
,,,,,,WEEK 6:,,,
,,,,,,"Thursday, October 13, 2022",Washington Commanders @ Chicago Bears,8:15 PM,"Soldier Field, Chicago"
,,,,,,"Sunday, October 16, 2022",San Francisco 49ers @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,New England Patriots @ Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,,New York Jets @ Green Bay Packers,1:00 PM,"Lambeau Field, Green Bay"
,,,,,,,Jacksonville Jaguars @ Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,Minnesota Vikings @ Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,,Cincinnati Bengals @ New Orleans Saints,1:00 PM,"Caesars Superdome, New Orleans"
,,,,,,,Baltimore Ravens @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Tampa Bay Buccaneers @ Pittsburgh Steelers,1:00 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,,Carolina Panthers @ Los Angeles Rams,4:05 PM,"SoFi Stadium, Inglewood"
,,,,,,,Arizona Cardinals @ Seattle Seahawks,4:05 PM,"Lumen Field, Seattle"
,,,,,,,Buffalo Bills @ Kansas City Chiefs,4:25 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,,Dallas Cowboys @ Philadelphia Eagles,8:20 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,"Monday, October 17, 2022",Denver Broncos @ Los Angeles Chargers,8:15 PM,"SoFi Stadium, Inglewood"
,,,,,,,"Bye: Detroit, Tennessee, Las Vegas, Houston",,
,,,,,,,,,
,,,,,,WEEK 7:,,,
,,,,,,"Thursday, October 20, 2022",New Orleans Saints @ Arizona Cardinals,8:15 PM,"State Farm Stadium, Glendale"
,,,,,,"Sunday, October 23, 2022",Atlanta Falcons @ Cincinnati Bengals,1:00 PM,"Paycor Stadium, Cincinnati"
,,,,,,,Detroit Lions @ Dallas Cowboys,1:00 PM,"AT&T Stadium, Arlington"
,,,,,,,Indianapolis Colts @ Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
,,,,,,,Green Bay Packers @ Washington Commanders,1:00 PM,"FedExField, Landover"
,,,,,,,Tampa Bay Buccaneers @ Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
,,,,,,,New York Giants @ Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
,,,,,,,Cleveland Browns @ Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
,,,,,,,New York Jets @ Denver Broncos,4:05 PM,"Empower Field at Mile High, Denver"
,,,,,,,Houston Texans @ Las Vegas Raiders,4:05 PM,"Allegiant Stadium, Las Vegas"
,,,,,,,Seattle Seahawks @ Los Angeles Chargers,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,Kansas City Chiefs @ San Francisco 49ers,4:25 PM,"Levi's Stadium, Santa Clara"
,,,,,,,Pittsburgh Steelers @ Miami Dolphins,8:20 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,"Monday, October 24, 2022",Chicago Bears @ New England Patriots,8:15 PM,"Gillette Stadium, Foxboro"
,,,,,,,"Bye: Buffalo, Los Angeles Rams, Minnesota, Philadelphia",,
,,,,,,,,,
,,,,,,WEEK 8:,,,
,,,,,,"Thursday, October 27, 2022",Baltimore Ravens @ Tampa Bay Buccaneers,8:15 PM,"Raymond James Stadium, Tampa"
,,,,,,"Sunday, October 30, 2022",Denver Broncos @ Jacksonville Jaguars,9:30 AM,"Wembley Stadium, London"
,,,,,,,Carolina Panthers @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,Chicago Bears @ Dallas Cowboys,1:00 PM,"AT&T Stadium, Arlington"
,,,,,,,Miami Dolphins @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,Arizona Cardinals @ Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Las Vegas Raiders @ New Orleans Saints,1:00 PM,"Caesars Superdome, New Orleans"
,,,,,,,New England Patriots @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Pittsburgh Steelers @ Philadelphia Eagles,1:00 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,,Tennessee Titans @ Houston Texans,4:05 PM,"NRG Stadium, Houston"
,,,,,,,Washington Commanders @ Indianapolis Colts,4:25 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,San Francisco 49ers @ Los Angeles Rams,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,New York Giants @ Seattle Seahawks,4:25 PM,"Lumen Field, Seattle"
,,,,,,,Green Bay Packers @ Buffalo Bills,8:20 PM,"Highmark Stadium, Orchard Park"
,,,,,,"Monday, October 31, 2022",Cincinnati Bengals @ Cleveland Browns,8:15 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,,"Bye: Kansas City, Los Angeles Chargers",,
,,,,,,,,,
,,,,,,WEEK 9:,,,
,,,,,,"Thursday, November 03, 2022",Philadelphia Eagles @ Houston Texans,8:15 PM,"NRG Stadium, Houston"
,,,,,,"Sunday, November 06, 2022",Los Angeles Chargers @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,Miami Dolphins @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,Carolina Panthers @ Cincinnati Bengals,1:00 PM,"Paycor Stadium, Cincinnati"
,,,,,,,Green Bay Packers @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,Indianapolis Colts @ New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
,,,,,,,Buffalo Bills @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Minnesota Vikings @ Washington Commanders,1:00 PM,"FedExField, Landover"
,,,,,,,Las Vegas Raiders @ Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
,,,,,,,Seattle Seahawks @ Arizona Cardinals,4:05 PM,"State Farm Stadium, Glendale"
,,,,,,,Los Angeles Rams @ Tampa Bay Buccaneers,4:25 PM,"Raymond James Stadium, Tampa"
,,,,,,,Tennessee Titans @ Kansas City Chiefs,8:20 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,"Monday, November 07, 2022",Baltimore Ravens @ New Orleans Saints,8:15 PM,"Caesars Superdome, New Orleans"
,,,,,,,"Bye: Cleveland, Dallas, Denver, New York Giants, Pittsburgh, San Francisco",,
,,,,,,,,,
,,,,,,WEEK 10:,,,
,,,,,,"Thursday, November 10, 2022",Atlanta Falcons @ Carolina Panthers,8:15 PM,"Bank of America Stadium, Charlotte"
,,,,,,"Sunday, November 13, 2022",Seattle Seahawks @ Tampa Bay Buccaneers,9:30 AM,"Allianz Arena, Munich"
,,,,,,,Minnesota Vikings @ Buffalo Bills,1:00 PM,"Highmark Stadium, Orchard Park"
,,,,,,,Detroit Lions @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,Denver Broncos @ Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
,,,,,,,Jacksonville Jaguars @ Kansas City Chiefs,1:00 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,,Cleveland Browns @ Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,,Houston Texans @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,New Orleans Saints @ Pittsburgh Steelers,1:00 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,,Indianapolis Colts @ Las Vegas Raiders,4:05 PM,"Allegiant Stadium, Las Vegas"
,,,,,,,Dallas Cowboys @ Green Bay Packers,4:25 PM,"Lambeau Field, Green Bay"
,,,,,,,Arizona Cardinals @ Los Angeles Rams,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,Los Angeles Chargers @ San Francisco 49ers,8:20 PM,"Levi's Stadium, Santa Clara"
,,,,,,"Monday, November 14, 2022",Washington Commanders @ Philadelphia Eagles,8:15 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,,"Bye: Cincinnati, New England, New York Jets, Baltimore",,
,,,,,,,,,
,,,,,,WEEK 11:,,,
,,,,,,"Thursday, November 17, 2022",Tennessee Titans @ Green Bay Packers,8:15 PM,"Lambeau Field, Green Bay"
,,,,,,"Sunday, November 20, 2022",Chicago Bears @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,Cleveland Browns @ Buffalo Bills,1:00 PM,"Highmark Stadium, Orchard Park"
,,,,,,,Philadelphia Eagles @ Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,New York Jets @ New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
,,,,,,,Los Angeles Rams @ New Orleans Saints,1:00 PM,"Caesars Superdome, New Orleans"
,,,,,,,Detroit Lions @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Carolina Panthers @ Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
,,,,,,,Washington Commanders @ Houston Texans,1:00 PM,"NRG Stadium, Houston"
,,,,,,,Las Vegas Raiders @ Denver Broncos,4:05 PM,"Empower Field at Mile High, Denver"
,,,,,,,Dallas Cowboys @ Minnesota Vikings,4:25 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Kansas City Chiefs @ Los Angeles Chargers,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,Cincinnati Bengals @ Pittsburgh Steelers,8:20 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,"Monday, November 22, 2021",San Francisco 49ers @ Arizona Cardinals,8:00 PM,"Estadio Azteca, Mexico City"
,,,,,,,"Bye: Miami, Seattle, Tampa Bay, Jacksonville",,
,,,,,,,,,
,,,,,,WEEK 12:,,,
,,,,,,"Thursday, November 24, 2022",Buffalo Bills @ Detroit Lions,12:30 PM,"Ford Field, Detroit"
,,,,,,,New York Giants @ Dallas Cowboys,4:30 PM,"AT&T Stadium, Arlington"
,,,,,,,New England Patriots @ Minnesota Vikings,8:20 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,"Sunday, November 27, 2022",Tampa Bay Buccaneers @ Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,,Cincinnati Bengals @ Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
,,,,,,,Houston Texans @ Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,,Chicago Bears @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Atlanta Falcons @ Washington Commanders,1:00 PM,"FedExField, Landover"
,,,,,,,Denver Broncos @ Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
,,,,,,,Baltimore Ravens @ Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
,,,,,,,Los Angeles Chargers @ Arizona Cardinals,4:05 PM,"State Farm Stadium, Glendale"
,,,,,,,Las Vegas Raiders @ Seattle Seahawks,4:05 PM,"Lumen Field, Seattle"
,,,,,,,Los Angeles Rams @ Kansas City Chiefs,4:25 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,,New Orleans Saints @ San Francisco 49ers,4:25 PM,"Levi's Stadium, Santa Clara"
,,,,,,,Green Bay Packers @ Philadelphia Eagles,8:20 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,"Monday, November 28, 2022",Pittsburgh Steelers @ Indianapolis Colts,8:15 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,,,
,,,,,,WEEK 13:,,,
,,,,,,"Thursday, December 01, 2022",Buffalo Bills @ New England Patriots,8:15 PM,"Gillette Stadium, Foxboro"
,,,,,,"Sunday, December 04, 2022",Pittsburgh Steelers @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,Green Bay Packers @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,Jacksonville Jaguars @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,New York Jets @ Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Washington Commanders @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Tennessee Titans @ Philadelphia Eagles,1:00 PM,"Lincoln Financial Field, Philadelphia"
,,,,,,,Denver Broncos @ Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
,,,,,,,Cleveland Browns @ Houston Texans,1:00 PM,"NRG Stadium, Houston"
,,,,,,,Seattle Seahawks @ Los Angeles Chargers,4:05 PM,"SoFi Stadium, Inglewood"
,,,,,,,Miami Dolphins @ San Francisco 49ers,4:05 PM,"Levi's Stadium, Santa Clara"
,,,,,,,Kansas City Chiefs @ Cincinnati Bengals,4:25 PM,"Paycor Stadium, Cincinnati"
,,,,,,,Los Angeles Rams @ Las Vegas Raiders,4:25 PM,"Allegiant Stadium, Las Vegas"
,,,,,,,Indianapolis Colts @ Dallas Cowboys,8:20 PM,"AT&T Stadium, Arlington"
,,,,,,"Monday, December 05, 2022",New Orleans Saints @ Tampa Bay Buccaneers,8:15 PM,"Raymond James Stadium, Tampa"
,,,,,,,"Bye: Arizona, Carolina",,
,,,,,,,,,
,,,,,,WEEK 14:,,,
,,,,,,"Thursday, December 08, 2022",Las Vegas Raiders @ Los Angeles Rams,8:15 PM,"SoFi Stadium, Inglewood"
,,,,,,"Sunday, December 11, 2022",New York Jets @ Buffalo Bills,1:00 PM,"Highmark Stadium, Orchard Park"
,,,,,,,Cleveland Browns @ Cincinnati Bengals,1:00 PM,"Paycor Stadium, Cincinnati"
,,,,,,,Houston Texans @ Dallas Cowboys,1:00 PM,"AT&T Stadium, Arlington"
,,,,,,,Minnesota Vikings @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,Jacksonville Jaguars @ Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
,,,,,,,Philadelphia Eagles @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Baltimore Ravens @ Pittsburgh Steelers,1:00 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,,Miami Dolphins @ Los Angeles Chargers,4:05 PM,"SoFi Stadium, Inglewood"
,,,,,,,Tampa Bay Buccaneers @ San Francisco 49ers,4:25 PM,"Levi's Stadium, Santa Clara"
,,,,,,,Carolina Panthers @ Seattle Seahawks,4:25 PM,"Lumen Field, Seattle"
,,,,,,,Kansas City Chiefs @ Denver Broncos,8:20 PM,"Empower Field at Mile High, Denver"
,,,,,,"Monday, December 12, 2022",New England Patriots @ Arizona Cardinals,8:15 PM,"State Farm Stadium, Glendale"
,,,,,,,"Bye: Atlanta, Chicago, Green Bay, Indianapolis, New Orleans, Washington",,
,,,,,,,,,
,,,,,,WEEK 15:,,,
,,,,,,"Thursday, December 15, 2022",San Francisco 49ers @ Seattle Seahawks,8:15 PM,"Lumen Field, Seattle"
,,,,,,"Sunday, December 18, 2022",Miami Dolphins @ Buffalo Bills,TBD,"Highmark Stadium, Orchard Park"
,,,,,,,Baltimore Ravens @ Cleveland Browns,TBD,"FirstEnergy Stadium, Cleveland"
,,,,,,,Indianapolis Colts @ Minnesota Vikings,TBD,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Atlanta Falcons @ New Orleans Saints,TBD,"Caesars Superdome, New Orleans"
,,,,,,,New York Giants @ Washington Commanders,TBD,"FedExField, Landover"
,,,,,,,Philadelphia Eagles @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,Detroit Lions @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Pittsburgh Steelers @ Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
,,,,,,,Dallas Cowboys @ Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
,,,,,,,Kansas City Chiefs @ Houston Texans,1:00 PM,"NRG Stadium, Houston"
,,,,,,,Arizona Cardinals @ Denver Broncos,4:05 PM,"Empower Field at Mile High, Denver"
,,,,,,,Tennessee Titans @ Los Angeles Chargers,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,Cincinnati Bengals @ Tampa Bay Buccaneers,4:25 PM,"Raymond James Stadium, Tampa"
,,,,,,,New England Patriots @ Las Vegas Raiders,8:20 PM,"Allegiant Stadium, Las Vegas"
,,,,,,"Monday, December 19, 2022",Los Angeles Rams @ Green Bay Packers,8:15 PM,"Lambeau Field, Green Bay"
,,,,,,,,,
,,,,,,WEEK 16:,,,
,,,,,,"Thursday, December 22, 2022",Jacksonville Jaguars @ New York Jets,8:15 PM,"MetLife Stadium, East Rutherford"
,,,,,,"Saturday, December 24, 2022",Buffalo Bills @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,New Orleans Saints @ Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,,Houston Texans @ Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
,,,,,,,Seattle Seahawks @ Kansas City Chiefs,1:00 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,,New York Giants @ Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Cincinnati Bengals @ New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
,,,,,,,Detroit Lions @ Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
,,,,,,,Atlanta Falcons @ Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
,,,,,,,Washington Commanders @ San Francisco 49ers,4:05 PM,"Levi's Stadium, Santa Clara"
,,,,,,,Philadelphia Eagles @ Dallas Cowboys,4:25 PM,"AT&T Stadium, Arlington"
,,,,,,,Las Vegas Raiders @ Pittsburgh Steelers,8:15 PM,"Acrisure Stadium, Pittsburgh"
,,,,,,"Sunday, December 25, 2022",Green Bay Packers @ Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,,Denver Broncos @ Los Angeles Rams,4:30 PM,"SoFi Stadium, Inglewood"
,,,,,,,Tampa Bay Buccaneers @ Arizona Cardinals,8:20 PM,"State Farm Stadium, Glendale"
,,,,,,"Monday, December 26, 2022",Los Angeles Chargers @ Indianapolis Colts,8:15 PM,"Lucas Oil Stadium, Indianapolis"
,,,,,,,,,
,,,,,,WEEK 17:,,,
,,,,,,"Thursday, December 29, 2022",Dallas Cowboys @ Tennessee Titans,8:15 PM,"Nissan Stadium, Nashville"
,,,,,,"Sunday, January 01, 2023",Arizona Cardinals @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,Chicago Bears @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
